Sensor;Wavelength;Average;Band;BandNumber
L1 MSS;0.45;0;Green;4
L1 MSS;0.451;0;Green;4
L1 MSS;0.452;0;Green;4
L1 MSS;0.453;0.001368457;Green;4
L1 MSS;0.454;0.001710571;Green;4
L1 MSS;0.455;0.003763257;Green;4
L1 MSS;0.456;0.004618543;Green;4
L1 MSS;0.457;0.003694834;Green;4
L1 MSS;0.458;0.003250086;Green;4
L1 MSS;0.459;0.003250086;Green;4
L1 MSS;0.46;0.003421143;Green;4
L1 MSS;0.461;0.0035922;Green;4
L1 MSS;0.462;0.003763257;Green;4
L1 MSS;0.463;0.003934314;Green;4
L1 MSS;0.464;0.004105371;Green;4
L1 MSS;0.465;0.004105371;Green;4
L1 MSS;0.466;0.004276428;Green;4
L1 MSS;0.467;0.004276428;Green;4
L1 MSS;0.468;0.004447485;Green;4
L1 MSS;0.469;0.004447485;Green;4
L1 MSS;0.47;0.004618543;Green;4
L1 MSS;0.471;0.004618543;Green;4
L1 MSS;0.472;0.004960657;Green;4
L1 MSS;0.473;0.0047896;Green;4
L1 MSS;0.474;0.004960657;Green;4
L1 MSS;0.475;0.005131714;Green;4
L1 MSS;0.476;0.005302771;Green;4
L1 MSS;0.477;0.005644885;Green;4
L1 MSS;0.478;0.006671228;Green;4
L1 MSS;0.479;0.0083818;Green;4
L1 MSS;0.48;0.010092371;Green;4
L1 MSS;0.481;0.012658228;Green;4
L1 MSS;0.482;0.017447828;Green;4
L1 MSS;0.483;0.023092713;Green;4
L1 MSS;0.484;0.034211427;Green;4
L1 MSS;0.485;0.048580226;Green;4
L1 MSS;0.486;0.058672597;Green;4
L1 MSS;0.487;0.080738967;Green;4
L1 MSS;0.488;0.098186794;Green;4
L1 MSS;0.489;0.109305508;Green;4
L1 MSS;0.49;0.134793021;Green;4
L1 MSS;0.491;0.160964762;Green;4
L1 MSS;0.492;0.188504961;Green;4
L1 MSS;0.493;0.211426616;Green;4
L1 MSS;0.494;0.235545672;Green;4
L1 MSS;0.495;0.258296271;Green;4
L1 MSS;0.496;0.280875813;Green;4
L1 MSS;0.497;0.302429011;Green;4
L1 MSS;0.498;0.328087581;Green;4
L1 MSS;0.499;0.350496066;Green;4
L1 MSS;0.5;0.373588779;Green;4
L1 MSS;0.501;0.410023948;Green;4
L1 MSS;0.502;0.445945946;Green;4
L1 MSS;0.503;0.474170373;Green;4
L1 MSS;0.504;0.503934314;Green;4
L1 MSS;0.505;0.542764283;Green;4
L1 MSS;0.506;0.579199453;Green;4
L1 MSS;0.507;0.607594937;Green;4
L1 MSS;0.508;0.648477592;Green;4
L1 MSS;0.509;0.682860075;Green;4
L1 MSS;0.51;0.69808416;Green;4
L1 MSS;0.511;0.725111187;Green;4
L1 MSS;0.512;0.7565857;Green;4
L1 MSS;0.513;0.777967841;Green;4
L1 MSS;0.514;0.80311324;Green;4
L1 MSS;0.515;0.818337325;Green;4
L1 MSS;0.516;0.830824495;Green;4
L1 MSS;0.517;0.848272323;Green;4
L1 MSS;0.518;0.865378036;Green;4
L1 MSS;0.519;0.874786179;Green;4
L1 MSS;0.52;0.889668149;Green;4
L1 MSS;0.521;0.902839548;Green;4
L1 MSS;0.522;0.915839891;Green;4
L1 MSS;0.523;0.926958604;Green;4
L1 MSS;0.524;0.935682518;Green;4
L1 MSS;0.525;0.944577489;Green;4
L1 MSS;0.526;0.950222374;Green;4
L1 MSS;0.527;0.955011974;Green;4
L1 MSS;0.528;0.959288402;Green;4
L1 MSS;0.529;0.963735888;Green;4
L1 MSS;0.53;0.967670202;Green;4
L1 MSS;0.531;0.970920287;Green;4
L1 MSS;0.532;0.973486144;Green;4
L1 MSS;0.533;0.974512487;Green;4
L1 MSS;0.534;0.976394116;Green;4
L1 MSS;0.535;0.97793363;Green;4
L1 MSS;0.536;0.978104687;Green;4
L1 MSS;0.537;0.979473144;Green;4
L1 MSS;0.538;0.980499487;Green;4
L1 MSS;0.539;0.982894287;Green;4
L1 MSS;0.54;0.983749572;Green;4
L1 MSS;0.541;0.985118029;Green;4
L1 MSS;0.542;0.986657544;Green;4
L1 MSS;0.543;0.988710229;Green;4
L1 MSS;0.544;0.989223401;Green;4
L1 MSS;0.545;0.990420801;Green;4
L1 MSS;0.546;0.991960315;Green;4
L1 MSS;0.547;0.993499829;Green;4
L1 MSS;0.548;0.994355115;Green;4
L1 MSS;0.549;0.995723572;Green;4
L1 MSS;0.55;0.996236743;Green;4
L1 MSS;0.551;0.996578857;Green;4
L1 MSS;0.552;0.996920972;Green;4
L1 MSS;0.553;0.999315771;Green;4
L1 MSS;0.554;1;Green;4
L1 MSS;0.555;0.999486829;Green;4
L1 MSS;0.556;0.998460486;Green;4
L1 MSS;0.557;0.998460486;Green;4
L1 MSS;0.558;0.999657886;Green;4
L1 MSS;0.559;0.997947314;Green;4
L1 MSS;0.56;0.997092029;Green;4
L1 MSS;0.561;0.993841943;Green;4
L1 MSS;0.562;0.991105029;Green;4
L1 MSS;0.563;0.988026001;Green;4
L1 MSS;0.564;0.984604858;Green;4
L1 MSS;0.565;0.980157373;Green;4
L1 MSS;0.566;0.975367773;Green;4
L1 MSS;0.567;0.969209716;Green;4
L1 MSS;0.568;0.963906945;Green;4
L1 MSS;0.569;0.959459459;Green;4
L1 MSS;0.57;0.95466986;Green;4
L1 MSS;0.571;0.950393431;Green;4
L1 MSS;0.572;0.945261717;Green;4
L1 MSS;0.573;0.941840575;Green;4
L1 MSS;0.574;0.936537804;Green;4
L1 MSS;0.575;0.93260349;Green;4
L1 MSS;0.576;0.93020869;Green;4
L1 MSS;0.577;0.929695518;Green;4
L1 MSS;0.578;0.929182347;Green;4
L1 MSS;0.579;0.926958604;Green;4
L1 MSS;0.58;0.927642833;Green;4
L1 MSS;0.581;0.923366404;Green;4
L1 MSS;0.582;0.918405748;Green;4
L1 MSS;0.583;0.913616148;Green;4
L1 MSS;0.584;0.907971262;Green;4
L1 MSS;0.585;0.89976052;Green;4
L1 MSS;0.586;0.889839206;Green;4
L1 MSS;0.587;0.873246664;Green;4
L1 MSS;0.588;0.868457065;Green;4
L1 MSS;0.589;0.84964078;Green;4
L1 MSS;0.59;0.836982552;Green;4
L1 MSS;0.591;0.821416353;Green;4
L1 MSS;0.592;0.804481697;Green;4
L1 MSS;0.593;0.778994184;Green;4
L1 MSS;0.594;0.7541909;Green;4
L1 MSS;0.595;0.722716387;Green;4
L1 MSS;0.596;0.703729046;Green;4
L1 MSS;0.597;0.679781047;Green;4
L1 MSS;0.598;0.648135477;Green;4
L1 MSS;0.599;0.611700308;Green;4
L1 MSS;0.6;0.579199453;Green;4
L1 MSS;0.601;0.533698255;Green;4
L1 MSS;0.602;0.506158057;Green;4
L1 MSS;0.603;0.470065002;Green;4
L1 MSS;0.604;0.40574752;Green;4
L1 MSS;0.605;0.368628122;Green;4
L1 MSS;0.606;0.326548067;Green;4
L1 MSS;0.607;0.301402668;Green;4
L1 MSS;0.608;0.262572699;Green;4
L1 MSS;0.609;0.230242901;Green;4
L1 MSS;0.61;0.194149846;Green;4
L1 MSS;0.611;0.173280876;Green;4
L1 MSS;0.612;0.149503934;Green;4
L1 MSS;0.613;0.132056107;Green;4
L1 MSS;0.614;0.122819022;Green;4
L1 MSS;0.615;0.111700308;Green;4
L1 MSS;0.616;0.103147451;Green;4
L1 MSS;0.617;0.095963052;Green;4
L1 MSS;0.618;0.087410195;Green;4
L1 MSS;0.619;0.079883681;Green;4
L1 MSS;0.62;0.075436196;Green;4
L1 MSS;0.621;0.069962367;Green;4
L1 MSS;0.622;0.065856996;Green;4
L1 MSS;0.623;0.062606911;Green;4
L1 MSS;0.624;0.058843654;Green;4
L1 MSS;0.625;0.055764625;Green;4
L1 MSS;0.626;0.05251454;Green;4
L1 MSS;0.627;0.049777626;Green;4
L1 MSS;0.628;0.046356483;Green;4
L1 MSS;0.629;0.04293534;Green;4
L1 MSS;0.63;0.040198426;Green;4
L1 MSS;0.631;0.036777284;Green;4
L1 MSS;0.632;0.034724598;Green;4
L1 MSS;0.633;0.032500855;Green;4
L1 MSS;0.634;0.031303455;Green;4
L1 MSS;0.635;0.028566541;Green;4
L1 MSS;0.636;0.026513856;Green;4
L1 MSS;0.637;0.024290113;Green;4
