"PATH_ROW","DATE"
"007-025","1982-07-06"
"008-026","1982-04-26"
"009-015","1982-07-08"
"012-030","1982-05-18"
"015-053","1979-01-13"
"017-022","1982-09-26"
"017-043","1979-02-02"
"019-017","1982-08-05"
"019-021","1982-08-23"
"020-031","1978-12-13"
"021-016","1982-08-07"
"023-014","1982-07-04"
"024-018","1982-08-10"
"024-021","1982-09-15"
"025-012","1982-07-06"
"025-013","1982-07-06"
"025-027","1978-06-03"
"025-035","1982-03-20"
"026-047","1981-04-13"
"027-014","1978-08-16"
"027-016","1978-08-16"
"027-017","1978-08-16"
"032-026","1978-07-16"
"032-047","1979-01-30"
"033-015","1978-08-22"
"033-036","1980-07-24"
"034-029","1978-09-28"
"034-040","1982-03-29"
"035-015","1982-08-03"
"035-019","1982-08-03"
"036-018","1978-07-02"
"036-030","1980-03-05"
"037-018","1982-06-30"
"037-025","1979-05-23"
"038-041","1982-04-02"
"039-010","1982-07-02"
"040-010","1982-07-03"
"040-027","1981-03-22"
"040-039","1980-10-11"
"041-017","1982-08-27"
"042-014","1982-09-15"
"042-032","1982-09-15"
"042-035","1981-03-24"
"044-009","1979-08-28/1982-08-12"
"044-011","1982-08-12"
"048-009","1982-07-11"
"048-010","1982-07-11"
"050-009","1982-08-18"
"050-010","1982-08-18"
"050-015","1982-08-18"
"052-009","1982-07-15"
"052-011","1982-07-15"
"056-014","1982-06-13"
"061-010","1982-07-06"
"062-010","1979-07-23"
"063-010","1979-08-11/1982-07-08"
"063-075","1978-10-09"
"068-009","1979-07-29"
"069-008","1979-08-17"
"070-010","1979-07-31"
"071-010","1979-08-01"
"079-010","1980-09-08"
"080-010","1980-09-09"
"080-020","1978-11-13"
"081-010","1980-07-18"
"082-011","1978-09-04"
"083-010","1982-07-10"
"083-018","1979-10-24"
"084-018","1979-10-25/1980-07-21"
"085-010","1982-07-12"
"085-017","1980-05-29/1980-08-27"
"085-018","1978-07-15/1979-10-26/1980-08-27/1982-07-12/1982-12-21"
"087-017","1978-07-17/1980-07-24"
"088-010","1982-07-15"
"091-012","1978-07-03"
"093-015","1979-06-29"
"099-080","1981-09-05"
"104-083","1981-09-10"
"105-065","1982-03-10"
"109-078","1980-06-05"
"109-080","1982-03-15"
"110-082","1982-07-02"
"112-073","1982-03-18/1982-08-09"
"112-081","1979-09-12/1980-05-03"
"114-063","1979-01-23"
"114-079","1982-08-11"
"115-028","1982-11-10/1983-01-21"
"116-078","1980-06-30"
"117-083","1981-10-12"
"119-080","1981-06-28"
"121-082","1982-05-20"
"123-063","1980-07-25/1982-07-15"
"123-079","1978-08-23"
"134-036","1983-02-27"
"139-036","1983-01-27"
"140-030","1980-10-04"
"146-046","1979-03-14"
"171-047","1979-02-13/1979-09-17"
"171-048","1978-12-03/1979-01-08/1979-02-13/1979-03-03/1979-11-10/1979-12-16"
"172-051","1978-08-18"
"172-054","1979-01-09"
"173-031","1982-04-12/1982-10-27"
"173-032","1982-05-18/1982-07-11"
"174-035","1982-05-19"
"174-052","1979-01-29"
"175-035","1982-06-25"
"175-041","1981-05-25/1981-08-23/1981-10-16/1982-02-19"
"182-044","1979-05-25"
"184-038","1979-02-26/1980-03-10/1980-04-15"
"185-038","1980-02-04"
"185-043","1978-10-24"
"186-037","1979-01-23/1980-04-17"
"186-039","1979-01-23"
"186-042","1979-03-18"
"188-039","1978-12-02"
"189-042","1980-02-26"
"191-040","1979-02-15"
"191-044","1982-01-30"
"192-043","1978-10-31"
"192-047","1980-01-24/1980-02-11/1980-11-07/1980-12-13"
"192-076","1979-01-11"
"194-074","1978-09-09"
"195-042","1979-02-19"
"195-046","1979-03-27"
"198-043","1979-12-07"
"199-041","1978-11-25"
"200-041","1978-11-08/1980-04-13"
"201-057","1979-02-07"
"202-045","1978-11-28"
"203-037","1978-11-29"
"203-046","1978-11-29"
"205-037","1978-11-13"
"205-047","1978-11-13/1979-02-11"
"206-037","1978-11-14"
"207-031","1982-05-16/1982-06-03/1982-07-27"
"208-040","1980-01-22"
"208-041","1980-01-22"
"209-040","1979-03-05"
"210-040","1978-08-02"
"211-044","1982-03-27"
"214-009","1980-06-20"
"215-019","1982-08-22"
"220-040","1978-11-10"
"221-042","1979-01-22/1979-02-09"
"225-020","1979-02-13"
